frame 1: [[[130.90625, 378.28125], [211.40452755577903, 450.0564531951203], [231.6383468640542, 416.35123519321115], [346.038948405531, 407.6998656792352], [350.69115708515625, 452.29682429424895], [355.2990556850282, 457.27549654237276], [297.5219497501321, 412.27696712577773], [287.0049980930629, 274.7965324148863], [281.667202687011, 130.58066504421296], [281.00593024326065, 112.78816032150215], [251.9251264458569, 7.279293126482988], [140.91057589995563, 375.75814385140853], [148.69626432508696, 278.98906080586687], [178.05705465918192, 142.23207007885512], [379.0331927542387, 118.3452512354453], [422.3968658991721, 248.037944275413], [421.6224011676038, 381.9992088090425], [0.9150390625, 0.0]]]
frame 2: [[[235.84375, 303.28125], [248.09761814108913, 441.31140714466994], [241.563512660134, 406.5332607083302], [343.0454309512162, 402.3580025532357], [356.17673858465656, 447.731000897498], [361.6725427126231, 465.1169822068409], [303.97647510616173, 404.60488182679615], [295.57498868870215, 272.08173061977135], [292.53476561842183, 134.96163120221178], [292.1520148697383, 121.7624263025642], [267.3254975113123, 7.8339495097742216], [152.39409502885087, 371.04984867064235], [159.92006445456965, 282.24862829192625], [185.08175337660285, 146.94927273512445], [385.47286882594443, 114.48223817397698], [428.8789958165981, 247.70615662210335], [423.9380046344529, 381.9898227806681], [0.89013671875, 0.0]]]
frame 3: [[[441.7129211425781, 381.373046875], [268.5085871441229, 448.5136427512053], [252.00748663857175, 402.0320823599178], [350.8378865115545, 404.35548073040087], [356.88720324340085, 467.4390955903372], [353.5231957658077, 465.6437916031821], [311.73577448516045, 402.9254659388511], [304.94998602457156, 268.6236502640715], [302.09357420331713, 129.78924005392062], [301.7295775951205, 116.5846396677393], [281.1833655603455, 11.974594055238503], [167.2834237085598, 355.8691853606215], [174.72039313007676, 271.33899145150895], [199.7848525901984, 141.40951352562996], [394.7989532212142, 117.86669691816495], [433.5380335534087, 247.05822756396117], [428.3432915672279, 380.408997047637], [0.93212890625, 0.0]]]
frame 4: [[[254.53125, 453.28125], [254.53125, 473.8263860555684], [254.53125, 400.68318316044457], [352.5917339597105, 393.3048119892794], [352.9267097982535, 472.36830738320435], [361.2172120208773, 467.9565298323724], [316.66572628984807, 400.2840367264632], [309.4481191301569, 267.2162557935343], [306.5248463096495, 130.19468994638004], [310.20253078491476, 121.34636793731573], [290.16069202124106, 16.734873864588355], [175.84720992959166, 348.3129940855442], [183.29747380266815, 267.32379985861314], [204.33588608002643, 137.25103255403027], [399.59061656196235, 117.92484764816798], [438.50272909846, 248.17420079297847], [437.4677688351474, 377.5829361734655], [0.90625, 0.0]]]
frame 5: [[[269.21875, 453.28125], [252.83044184724147, 473.8263860555684], [262.95045842809213, 396.3298380025371], [349.34785151172775, 392.8073741513894], [348.956608674299, 472.3661466919335], [348.91259248329783, 467.95452128921636], [315.9226541357318, 391.60530140572763], [314.028125611073, 262.2280302759853], [315.8163043126318, 129.97373370205065], [316.05597787605313, 121.33304827380542], [299.692937174995, 25.618199457696342], [185.87980730200786, 339.4458792133165], [193.2974681006061, 262.22084966841123], [214.34297799212044, 136.96738372053542], [405.07179282700406, 117.91276269098287], [439.46795602411663, 239.31527320622752], [438.1312285860402, 368.1365953812679], [0.94091796875, 0.0]]]
frame 6: [[[272.5947265625, 452.3369140625], [256.24096650927675, 472.83863908603786], [266.33949303333117, 382.4143720902348], [352.5509865263842, 373.8808917842076], [352.1658075634489, 465.6236962492935], [343.99641225240174, 458.06170874111825], [314.097431145857, 381.470076784468], [314.61706387849085, 256.78517092382776], [318.72181061312074, 129.53473533563115], [323.3352732523816, 121.07433235001263], [303.4955186660548, 21.18892692967065], [193.87570024526238, 333.98182358998514], [201.47644572791066, 257.0206170455386], [218.46361586534275, 127.55953097503433], [403.6023719018261, 116.78013124103018], [442.11482279199566, 238.88370252993278], [441.1143089277755, 362.9531850940185], [0.94140625, 0.0]]]
frame 7: [[[273.84375, 453.28125], [257.45544184724145, 473.8263860555684], [263.51176084776364, 378.8129627503649], [344.8861409346945, 374.1781080828653], [348.39445518456057, 466.60676631533323], [336.60051711632406, 459.0161456346823], [314.47019418220725, 377.90927047484854], [317.8542873430484, 250.35642713713526], [324.3928084475786, 120.48479554872173], [325.26917550341255, 120.47025978370051], [309.0166178529877, 21.25554242062384], [199.65780784765045, 325.57664489329665], [207.26280894165552, 244.48999011447813], [224.28210265212525, 122.5775310923371], [409.8322775957201, 112.28934895621812], [444.07431907570657, 234.74706479480997], [442.75505537296254, 354.5900504926226], [0.9462890625, 0.0]]]
frame 8: [[[271.7392578125, 452.3369140625], [251.23753278896208, 472.83863908603786], [260.859106392468, 364.82550135038355], [346.98731362189926, 367.7633323761183], [350.7812425300778, 465.3119760908545], [339.0272929232095, 453.92002188985305], [316.96602289150496, 363.72886030174004], [318.31179215465085, 240.1692371844992], [322.5279180761188, 115.33108262044139], [327.15850692684194, 107.02623634545017], [315.57821246955757, 11.573552353109717], [202.70276071330343, 315.5282647747798], [210.01284626221926, 238.49061249578415], [226.9690115597133, 117.68771100077092], [412.10203505625987, 107.38844969911356], [441.9713792808102, 225.164041579642], [444.5080440213395, 348.90235573103996], [0.94775390625, 0.0]]]
frame 9: [[[263.19140625, 414.31640625], [246.9412811630437, 468.3157224815903], [261.0429032143097, 364.9427051301124], [347.30002107737215, 355.11121312977815], [346.9129236532285, 463.56046658334446], [334.79279558293837, 452.9437661236617], [316.9089829242942, 363.53581735687817], [320.7048272868441, 236.30281605972263], [327.2596997468395, 107.53240845935173], [328.1332633375042, 107.52074280099086], [316.11530550491045, 13.538719228402051], [203.8910713053242, 306.4345957979859], [211.1493610691199, 229.89614076872556], [228.0003186643824, 109.63460131462358], [411.92706734553883, 103.59020315689612], [441.643934849974, 216.72615969860698], [444.1735056091323, 334.9579687725831], [0.94921875, 0.0]]]
frame 10: [[[250.3779296875, 415.4501953125], [246.36227578250669, 469.3330331163936], [266.11166686619856, 361.81923190789894], [348.6328168874127, 355.89335663869133], [343.7856034481565, 468.97285053828614], [335.1887660578825, 454.53398979466266], [317.84560785826613, 360.44760398996937], [319.6751154848242, 233.12698245179783], [323.92924596991514, 104.65149931398349], [332.5776658198516, 104.65845787417453], [321.6288808928381, 10.877260703652839], [205.43012141085262, 303.1295816875359], [212.4004777107697, 226.77854761982417], [233.18875668646842, 106.77832098496596], [412.9096135650516, 96.57347936412286], [442.3759017065453, 213.3215472863504], [444.89554367025835, 331.6185683789746], [0.94873046875, 0.0]]]
frame 11: [[[245.7392578125, 416.4501953125], [241.7236039075067, 466.08400410316705], [265.5995158214516, 353.7487919524893], [348.6554057436641, 351.7604913072749], [347.8878878105347, 465.3279727703317], [335.74641360711, 454.945388119986], [313.78631886266464, 357.1347309209338], [317.1248540720556, 231.69142207867864], [323.59370168796147, 105.55170087507318], [332.5417962504761, 105.64903142836586], [325.6748471227939, 11.891447827324463], [205.71583791955362, 299.59621208162724], [212.43550257491557, 223.24936765427537], [237.27651822952086, 103.1141401257122], [408.66206691470774, 101.24675094824448], [442.015799903481, 214.6718522768808], [444.85764052087234, 332.6388529590816], [0.9482421875, 0.0]]]
