frame 1: [[[786.689453125, 939.123046875], [767.3416181579937, 879.7552465540181], [823.9364199039808, 708.596008434237], [931.7153366742209, 697.265395013277], [1085.155780916304, 767.6467587766753], [1061.7625339003835, 947.9185290825657], [903.9353588530408, 715.7012103522025], [894.5257349061887, 598.2775331965953], [896.8242065896678, 490.64055297465654], [903.4740309961077, 456.339472579614], [910.7455647836734, 302.13812251501116], [845.6874452860728, 746.6268529508171], [792.3458661689154, 649.1416821961822], [813.1092817458803, 496.1744793989442], [972.3041668053066, 483.9615510796024], [990.9155396500358, 637.9224487732464], [900.5721075122635, 746.3389060810828], [0.94140625, 0.0]]]
frame 2: [[[790.251953125, 945.990234375], [764.2017482991216, 872.6008155219024], [820.2804982040477, 706.370367812277], [928.6147319126401, 695.4040158738582], [1075.812730833917, 759.4129101436155], [1065.273922630956, 947.1182496097815], [901.1261401100799, 714.0133027457714], [887.949940892094, 595.9313136133761], [886.6544851358371, 487.71196286273124], [892.9311860722742, 453.2371349282422], [900.1644572151159, 298.1953160854384], [814.0801040611539, 745.1503794993599], [772.4982996302277, 647.0660422902644], [794.4110106513159, 493.2591440420907], [961.813562954948, 481.0068559335102], [980.764476308729, 628.7365037756325], [989.0917433148172, 744.3692677668755], [0.9423828125, 0.0]]]
frame 3: [[[792.8212890625, 945.1220703125], [759.8161925728942, 877.9634237683696], [802.0422566556675, 710.7766350974066], [931.1748536229471, 692.8631839123686], [1073.996076155757, 756.7855471530557], [1062.955498591934, 946.2771336227015], [890.0010927863104, 710.8913127006958], [876.4796018995374, 591.7784704699651], [875.1712306052258, 482.57062738239875], [881.5106994557794, 447.8039725086572], [882.3400335311745, 291.29186236637696], [780.3595875795268, 727.7636879112572], [751.1783334683806, 628.827044296136], [780.7126963430567, 487.398743730988], [951.203131491723, 482.5110362749246], [970.1905434485165, 625.5243554233232], [978.5664978482258, 741.7002429524584], [0.943359375, 0.0]]]
frame 4: [[[790.7080078125, 944.3779296875], [757.438824392731, 876.6768225929085], [793.2171707005073, 693.6496479033314], [908.2901316748804, 675.0834215787543], [1065.799877291111, 760.2269889127275], [1062.1403337525867, 946.0722591719392], [874.2607587325882, 693.6045278077333], [863.4160461664125, 580.2152815208757], [865.6962226651184, 477.77009969650453], [865.9619244414007, 436.1824189967961], [872.4959645014959, 285.05172863543754], [749.2352003546207, 725.5247484330945], [732.3463778837705, 619.2630602000831], [769.9413628205851, 482.62272838689984], [942.9799512406747, 471.3237439781096], [955.1028659124004, 621.9131905862868], [949.5553060917958, 739.4218308734645], [0.95068359375, 0.0]]]
frame 5: [[[791.638671875, 943.509765625], [751.1873389706545, 868.1232058419145], [793.4175380469286, 697.4016415327233], [903.1404278138525, 672.3461689198496], [1061.6417135492973, 757.7071402449886], [1064.8333275470115, 945.2628579458765], [868.6431572531255, 697.7934023677933], [857.4258803006288, 580.041184140323], [859.7136041424358, 472.8300251030015], [853.321585125264, 423.6145800757625], [859.113453469204, 277.7456867499127], [720.0309651759537, 707.8015302578464], [716.1078128252251, 606.9285567262613], [755.4207435312762, 469.89857205741544], [937.535730203125, 458.55664095002754], [943.0216200593234, 617.8591777151515], [930.1690668069881, 729.5799855715113], [0.953125, 0.0]]]
frame 6: [[[790.3427734375, 946.3076171875], [742.5384909810805, 863.0750270978167], [784.4582824502118, 682.8036717523238], [895.1625912662491, 657.3401623443933], [1055.1406184164111, 757.7303232887431], [1058.33292035203, 948.2793311753239], [867.7121709365903, 683.4511756423256], [849.7378972120152, 564.0992272104417], [844.6496509715324, 455.9679330512578], [844.0852929925201, 413.4974224369103], [844.0154466429617, 266.8870552136911], [688.0053037261026, 685.8297089304696], [697.2730467252552, 584.0616599997514], [745.3137768989138, 452.6047936906293], [922.7076997365846, 455.34605663507364], [927.8010929102577, 610.6747447925773], [908.1514971384438, 722.8736165026454], [0.95068359375, 0.0]]]
frame 7: [[[792.33203125, 944.05078125], [736.7189256548922, 859.6138905351739], [778.5732700449674, 669.2618387822865], [890.8473087640405, 650.4067727252639], [1045.6672042495786, 752.9148745309437], [1055.645013004056, 953.6953563079878], [855.4437981290954, 670.0896480265756], [837.0069702254129, 552.2659478788152], [831.8477656166494, 446.5620691473883], [831.2798163147945, 403.7503748848421], [831.2097898089312, 255.0527436094128], [665.4704309014065, 672.4443960231489], [681.6039391852439, 569.1590217058723], [731.1126223449626, 442.9344558197973], [918.626777590237, 439.22277922275475], [916.8893532237781, 595.9737897459205], [889.7137665471425, 709.7443190184476], [0.94873046875, 0.0]]]
frame 8: [[[790.5458984375, 950.4658203125], [741.2424906353314, 849.777341795347], [777.387558286696, 655.1108354137589], [890.729587199936, 628.8796905218986], [1032.946087777281, 747.2451377071416], [1056.8735441282756, 944.9525841169715], [862.3195731798185, 656.0127913956038], [836.6389647876208, 536.3868215917513], [823.7031726235231, 428.979020667817], [822.3363066305515, 392.8384955779241], [822.1719453049627, 242.28750245989033], [638.3695776534908, 651.1958729718767], [661.4351623337485, 552.6791968960999], [719.6738935717123, 432.7593458871358], [903.5924247326702, 429.44420801650483], [901.3835398615736, 573.8560367708988], [867.0741478165559, 696.1183355868524], [0.943359375, 0.0]]]
frame 9: [[[791.1015625, 947.8983764648438], [733.4775910999807, 837.685365216905], [769.6408698712609, 646.5782307680932], [885.1130988736666, 620.3075385531131], [1022.3316915337618, 748.6534249367347], [1053.7091011844102, 950.5736534849452], [856.0800781708452, 640.0961046046904], [829.9884566818292, 521.7304863248866], [816.8217636664701, 416.4308669526563], [815.4336989138951, 372.4322277251142], [808.2252449311716, 226.10484589075188], [612.0337762154427, 619.5460724307463], [649.7123198849295, 532.5784117656115], [710.8821954643009, 412.45398355281475], [898.4145157524172, 416.31475331388833], [888.7048691587053, 564.5362509657108], [853.0243094405126, 688.987045686408], [0.9501953125, 0.0]]]
frame 10: [[[794.1162109375, 947.1220703125], [735.2699800326275, 826.7760946605579], [757.748234137071, 631.1436117168532], [873.5986063878925, 604.5113011306587], [1005.8484035632674, 735.5989865357919], [1052.7201751559014, 949.7366944776322], [844.2921266133479, 624.8119401799307], [821.1362576172761, 507.738142300944], [811.6962398264363, 404.4059180919092], [803.4375316775496, 359.7568723552124], [795.2632038246855, 210.35257188850284], [586.7896040153174, 604.17951397416], [639.5411644424244, 515.1982904992578], [704.0571883573444, 400.0589255026037], [887.753924736725, 404.5013069146584], [884.76943173219, 540.333407660408], [841.7436757986558, 682.1073775070772], [0.95703125, 0.0]]]
frame 11: [[[794.8828125, 945.5547485351562], [727.2359595507529, 822.9850655328587], [749.6599312377552, 615.7254535494275], [867.442257907421, 596.1813983512967], [994.1241773998435, 730.4007478061153], [1049.1758428109708, 940.2960960382378], [837.5186384172778, 617.0089388604571], [810.1845878875534, 494.2857398553428], [796.507442042184, 384.9289278825101], [795.0788741072552, 347.0758886436127], [787.5892624339469, 195.58495433687506], [567.3051562883775, 572.0133974811921], [628.1245700150215, 495.46297996369725], [694.8741969413834, 388.17576794409547], [873.9416112784038, 385.78007289108166], [870.4807590044558, 531.2214427866265], [826.5935506181808, 644.0796595731548], [0.95751953125, 0.0]]]
