frame 1: [[[367.8232421875, 240.8291015625], [649.118520352675, 436.1079457582764], [445.0920585704567, 419.6870762406128], [343.9541858137463, 409.9111435602673], [319.1687494553712, 462.9767251729297], [329.19336226617384, 256.71049226647403], [379.9598945781985, 406.105086372837], [444.82236408326844, 252.59207962591566], [510.4613951692132, 66.68582151483024], [516.1913147908342, 64.06988053617862], [575.8003548101502, 8.681649259427239], [502.9885099786215, 174.34744663237214], [448.3846287834362, 296.58531374863475], [605.1618314083244, 105.05846735613599], [613.7262842328673, 93.13799947530052], [311.6937952074353, 192.607813724061], [358.0030792160941, 202.33327383578307], [0.927734375, 0.0]]]
frame 2: [[[403.2060546875, 302.6494140625], [331.5849397220731, 440.381577113111], [336.9790175859789, 413.76321808275986], [400.2700728850566, 427.13522949643016], [340.7357016818738, 449.4231006586987], [346.2507490810608, 256.72903110788894], [379.9607103078322, 407.8366673518163], [425.92113325754434, 269.30844654953563], [472.90318313317226, 99.25831715599998], [473.31729730543424, 75.62902250735068], [562.8974002327992, 5.027565227786309], [417.59808276043873, 156.56889736620337], [313.69522463905093, 199.9111442514061], [603.2444473603331, 116.50201091972522], [617.0659840284864, 94.87719030846203], [324.08223983552244, 193.8687067370695], [361.543678368198, 158.53496624123915], [0.9482421875, 0.0]]]
frame 3: [[[444.3388671875, 377.4931640625], [423.8371421639621, 235.2977873361944], [344.8953087601701, 398.84098586136935], [411.9317897501996, 425.9557480199693], [361.9161033816545, 234.03732778949703], [372.5394991239478, 261.7086871814446], [382.07665421914965, 411.022443448281], [437.84555631140967, 261.7079446529707], [498.8355577949883, 81.12674876842888], [500.28652877671897, 69.84691480451845], [563.8946210985837, 4.737846199224428], [298.5483922632785, 134.47079501881302], [311.95660488396953, 211.2100130809127], [603.5127534711696, 139.49624774744112], [616.2505929473897, 109.94139926979776], [419.07991427724954, 216.79573702406182], [338.9072742461085, 135.12687728173222], [0.94580078125, 0.0]]]
frame 4: [[[438.833984375, 376.705078125], [455.1531978835421, 274.67392631873156], [346.8051136262726, 396.25077104820707], [402.6248554475944, 424.7791907131956], [389.48320585403, 228.86946455535872], [387.75310955953705, 330.49927932678094], [375.29527227536107, 414.999668594041], [438.40309652724653, 260.67847391023923], [510.9708683994347, 80.71483979523663], [517.4053578078964, 73.94141226040864], [560.0239534187161, 5.02681113601766], [293.10127157904105, 120.85014426042838], [319.28445187489115, 209.76833838704346], [362.4067841823266, 86.86375702547515], [600.7042391084798, 107.53570868562984], [348.1285305459608, 203.53920728797908], [303.09476030678115, 138.22745319217452], [0.9443359375, 0.0]]]
frame 5: [[[439.333984375, 358.033203125], [359.18177789682056, 238.35399833372193], [334.80212010816, 407.6115173955429], [407.06478769847297, 430.2426617222393], [353.0626367266597, 278.6889778552225], [283.2479697907435, 278.67894450199356], [368.2391243794024, 415.1976276321652], [434.79618113306077, 265.46811603567727], [498.46555110410736, 85.5226681459906], [504.0133010136768, 70.07539692612139], [559.41379585357, 4.708493914366422], [293.8242181958689, 125.26150607414631], [344.3968955704556, 162.4831607322593], [604.2558410229025, 91.5961896512661], [611.3708393292328, 104.04653438132897], [476.6756754384465, 301.5078173748967], [302.16688089011075, 150.8928804322186], [0.9033203125, 0.0]]]
frame 6: [[[352.4560546875, 375.9169921875], [336.17138616798155, 247.6511652078688], [334.13001900348536, 393.5527728477969], [466.37794377982647, 358.1675910534091], [347.40499360112767, 264.3264046160366], [367.952753455126, 435.2083135068109], [370.65882489095935, 415.7151739182081], [420.8976653354155, 254.51806171793604], [476.88123302885424, 79.94092614220202], [482.2065444785799, 69.4599495816618], [559.0005032855502, 9.000532022269708], [296.0572441374277, 187.62519326153802], [325.7751123268168, 189.3829004620423], [348.87477424223044, 97.47660048399408], [574.612271184898, 104.72562575885534], [479.08952749260544, 318.63315043870915], [309.84378889234574, 204.93055517345238], [0.9169921875, 0.0]]]
frame 7: [[[281.642578125, 451.3926086425781], [281.642578125, 439.1902733124308], [302.1008944016809, 412.8700995919585], [393.9804844532874, 401.59195378645575], [293.4815662602298, 432.9635409933732], [327.8513289341842, 449.16828438453894], [348.7918703395255, 405.7850686707148], [386.72539071783143, 244.4749996215165], [426.4473437827752, 74.86267430875772], [426.3613183622147, 64.87829961085878], [502.5171110025279, 12.991109010602008], [279.8960365415645, 219.9057278529391], [298.19043285424635, 205.68107440009746], [316.24571148579764, 89.77229423613446], [509.9537835770254, 87.5687929780154], [456.9138463119902, 300.3156489208433], [281.7252348067391, 232.637530149983], [0.93701171875, 0.0]]]
frame 8: [[[243.0888671875, 352.6259765625], [123.66892139903881, 276.98507549922306], [248.04115295729463, 314.2721992186026], [328.65758881147605, 365.17580845222346], [306.6491825722945, 460.3072338395825], [362.5906434775079, 463.98722822537235], [315.0785367691468, 350.3547500065685], [323.3008716653579, 225.19756091196842], [338.6830484675782, 100.8312206466649], [344.68638018501775, 88.34928923044117], [382.74190926557986, 6.021805243526564], [219.74473107822374, 241.38202924572983], [248.58287350170488, 211.8627518561711], [259.9419363407748, 103.01486578262436], [398.7331789042496, 92.99182103297106], [401.18580295146484, 281.7147562173724], [274.2942934681032, 278.4588117757058], [0.93017578125, 0.0]]]
frame 9: [[[270.169921875, 353.365234375], [132.7357130121867, 424.83230320617076], [238.47942491462382, 331.42957353214103], [335.8578062732396, 334.29719538862844], [302.90229220130624, 458.37067488506324], [365.8953069678501, 464.6527615791171], [310.4709575838559, 337.79637115062803], [303.80045631154695, 224.84919120823173], [302.97086231503755, 114.39131258709118], [306.89044669126656, 89.69894108633032], [336.2491795569063, 10.430075864504444], [180.7944341138976, 283.04080538543917], [230.1179357924439, 245.7682905202018], [244.65657837412923, 122.83728068588867], [362.1354837008292, 111.93095105310354], [375.9762236474635, 282.9062856760967], [254.54058849948615, 347.5945716103505], [0.92626953125, 0.0]]]
frame 10: [[[369.34375, 467.34375], [306.24772566945575, 467.34375], [328.42081250499143, 364.87100992661163], [294.0987997792835, 364.29082055033024], [155.7214326990546, 444.02469379892267], [218.76588542905935, 385.9699177691509], [304.16198586597324, 362.5459486378742], [289.38090104648103, 236.67566581534263], [265.06762328321855, 102.13346967360857], [261.99235993830683, 93.2392988112872], [273.80126203134694, 10.748246973050684], [168.72260671403794, 302.65281082908234], [212.43304460878372, 253.05880272276562], [222.52646225657804, 123.55929953143183], [287.1505304686928, 103.93233042527037], [293.5199457652498, 283.56119527895373], [261.47192795002724, 384.3451647874348], [0.87646484375, 0.0]]]
frame 11: [[[295.189453125, 416.0488586425781], [257.9773614612104, 256.29447826590723], [286.33330971222995, 343.0912931124179], [327.46497917542183, 370.48637584869346], [142.0030640778565, 454.4521854567123], [98.53230167191303, 457.6649579669301], [288.09414207557694, 369.91011107527606], [273.64600988967885, 235.40679791607013], [243.64518255126015, 98.93018529752388], [239.75996042035234, 94.41308682856476], [251.41214505363791, 12.680388950336647], [164.3085431744302, 307.92293933517874], [204.91191770750626, 270.8882448480755], [239.38653273800887, 54.20610425435173], [268.2679461237996, 117.43041129580367], [288.00719181310336, 236.73814773591022], [189.000127846211, 346.47481556326346], [0.92138671875, 0.0]]]
frame 12: [[[184.830078125, 374.037109375], [147.61798646121045, 445.5041782061708], [253.30191118025718, 352.101448532141], [318.539082608458, 371.14519398600453], [153.42187776742847, 453.8831179420296], [350.13230835971416, 465.91424372412916], [299.7411634749145, 366.05801163406153], [262.133281310311, 228.39073877281635], [226.48725332434395, 89.60775530325509], [218.56558668094874, 93.55299272557899], [237.88862928399175, 12.69009829057538], [182.1638419421104, 289.70705243122654], [204.6032074148788, 252.38833655662566], [240.8172480717258, 53.482262653137724], [269.91181484283294, 120.85479783229918], [273.0811160767578, 237.09616119960938], [206.66919900025573, 298.23034314150686], [0.91357421875, 0.0]]]
frame 13: [[[102.1650390625, 474.7392578125], [135.09092291908104, 462.56268749093266], [254.7206398497154, 354.4710567693312], [315.5126375866421, 370.18811811337537], [145.91516118758577, 451.59057684205277], [192.6438666605199, 385.4528425550999], [279.45189912778784, 357.1443191882935], [260.8659910922278, 233.70117967553318], [231.9953564675052, 102.39505282426717], [220.2675359881374, 93.65165435046492], [234.99036545597147, 11.707329467418358], [183.01640562683033, 283.46328489375867], [226.5174680963222, 246.25530989022144], [235.91874720695716, 70.15566329342194], [233.0376267995238, 122.28510136503016], [236.6930557978925, 218.0608872942009], [200.12685950077972, 295.22920693728787], [0.8955078125, 0.0]]]
frame 14: [[[123.84375, 453.28125], [136.09761814108913, 453.28125], [267.12267899894965, 350.80850992661163], [311.7028506914778, 370.82527499583796], [143.90784539909322, 453.54291854753416], [78.33045143041933, 457.4586197533408], [271.26847324508145, 364.84871887940847], [261.0250297061187, 234.02381795241976], [235.60074407891804, 101.78004785654153], [223.98425955774843, 93.19853935597715], [226.56637324732614, 10.716264224145641], [181.00818601432795, 293.4439004103097], [229.7560027949752, 251.97079922447273], [239.6515916403774, 69.72790999171164], [236.78120647171198, 122.15758522672668], [244.56092384776628, 218.41648953600736], [199.84941228371605, 296.08459461499797], [0.91259765625, 0.0]]]
frame 15: [[[398.1259765625, 467.3701171875], [326.5048615970731, 467.3701171875], [327.7880698124667, 369.52084865351094], [323.8479567367736, 385.6431362612909], [135.9150138717521, 454.60237206865264], [84.51023491282045, 453.4906402482867], [278.14632364239554, 369.0223084858635], [264.2176955097853, 236.99709546209667], [234.18409702597174, 102.68530894774901], [230.31076747815194, 94.01219957256853], [229.80569638846424, 11.688673835869885], [179.61994773701758, 298.3812700933636], [253.53922575804364, 281.99526226918715], [232.97480033755917, 67.59309431305647], [242.35679445794477, 122.73895962819934], [247.64586457753217, 218.8551071840996], [189.85174476738948, 287.6874032320309], [0.91845703125, 0.0]]]
